,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
181,Mitsubishi Space Star 1.6,1.750 €,2001. | ,320.134 km | ,Benzin | ,"1584 cm3, ","Karavan, ","72kW (98KS), ","Manuelni 5 brzina, "
182,Mitsubishi Colt 1.5 d,2.990 €,2008. | ,152.000 km | ,Dizel | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
183,Mitsubishi Pajero 3.2 did,5.800 €,2007. | ,230.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Manuelni 5 brzina, "
184,Mitsubishi Space Wagon GDI,450 €,2000. | ,200.000 km | ,Benzin | ,"2400 cm3, ","Monovolumen (MiniVan), ","110kW (150KS), ","Automatski menjač, "
185,Mitsubishi Space Star ,1.500 €,2001. | ,19.800 km | ,Benzin | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
186,Mitsubishi Pajero Pinin ,3.300 €,2003. | ,157.000 km | ,Benzin | ,"1800 cm3, ","Džip/SUV, ","84kW (114KS), ","Manuelni 5 brzina, "
187,Mitsubishi Pajero SPORT,Po dogovoru,2003. | ,220.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","98kW (133KS), ","Manuelni 5 brzina, "
188,Mitsubishi Outlander 2.0 DID rest. CH,8.700 €,2010. | ,164.000 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
189,Mitsubishi Pajero ,1.800 €,2001. | ,167.000 km | ,Benzin | ,"3500 cm3, ","Džip/SUV, ","166kW (226KS), ","Automatski menjač, "
190,Mitsubishi Outlander 2.2 DI D 4WD,11.500 €,2015. | ,122.000 km | ,Dizel | ,"2268 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
191,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
193,Mitsubishi Pajero 32,5.999 €,2004. | ,184.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","118kW (160KS), ","Automatski menjač, "
194,Mitsubishi Pajero Pinin 1.8metan,4.200 €,2002. | ,249.971 km | ,Metan CNG | ,"1800 cm3, ","Džip/SUV, ","84kW (114KS), ","Manuelni 5 brzina, "
195,Mitsubishi Grandis 2.0 TDI CHROM,3.199 €,2006. | ,195.429 km | ,Dizel | ,"1986 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
196,Mitsubishi Lancer 1.5 GLX,750 €,1991. | ,236.000 km | ,Benzin | ,"1458 cm3, ","Limuzina, ","61kW (83KS), ","Manuelni 5 brzina, "
197,Mitsubishi Pajero ,3.500 €,1993. | ,234.050 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","77kW (105KS), ","Manuelni 5 brzina, "
198,Mitsubishi Carisma 1.8 GDI,1.650 €,2003. | ,168.000 km | ,Benzin | ,"1800 cm3, ","Hečbek, ","90kW (122KS), ","Manuelni 5 brzina, "
199,Mitsubishi Outlander ,8.000 €,2007. | ,174.500 km | ,Dizel | ,"1996 cm3, ","Džip/SUV, ","102kW (139KS), ","Manuelni 6 brzina, "
200,Mitsubishi Lancer ,8.000 €,2011. | ,120.000 km | ,Benzin | ,"1799 cm3, ","Limuzina, ","102kW (139KS), ","Automatski menjač, "
201,Mitsubishi Pajero sport,1.999 €,2001. | ,250.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","75kW (102KS), ","Manuelni 5 brzina, "
202,Mitsubishi Grandis 2.0 did,4.500 €,2006. | ,217.000 km | ,Dizel | ,"1997 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
203,"Mitsubishi Galant 2,5 V6 24V Švajcarac",790 €,2002. | ,210.000 km | ,Benzin | ,"2497 cm3, ","Limuzina, ","120kW (163KS), ","Manuelni 5 brzina, "
204,Mitsubishi L200 2.5 DI-D,13.900 €,2014. | ,106.000 km | ,Dizel | ,"2477 cm3, ","Džip/SUV, ","131kW (178KS), ","Manuelni 5 brzina, "
205,Mitsubishi Colt 1.5did,3.150 €,2006. | ,178.000 km | ,Dizel | ,"1493 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
206,Mitsubishi Pajero ,5.600 €,2004. | ,210.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
207,Mitsubishi Pajero DID 3.2,6.800 €,2005. | ,271.000 km | ,Dizel | ,"3200 cm3, ","Džip/SUV, ","117kW (159KS), ","Automatski menjač, "
208,Mitsubishi Colt ,2.250 €,2005. | ,120.472 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
209,Mitsubishi Pajero Pinin 2.0 GDi,Po dogovoru,2001. | ,167.100 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","96kW (130KS), ","Automatski menjač, "
210,Mitsubishi Pajero ,5.500 €,2003. | ,226.399 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
211,Mitsubishi Pajero Pinin 2.0 gdi reduktor,3.200 €,2002. | ,226.000 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
212,Mitsubishi Pajero Pinin 2.0 GDI,3.900 €,2003. | ,180.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
213,Mitsubishi Lancer glx i,650 €,1991. | ,264.000 km | ,Benzin + Gas (TNG) | ,"1467 cm3, ","Limuzina, ","66kW (90KS), ","Manuelni 5 brzina, "
214,Mitsubishi ASX ,8.950 €,2010. | ,122.000 km | ,Dizel | ,"1800 cm3, ","Džip/SUV, ","110kW (150KS), ","Manuelni 6 brzina, "
215,Mitsubishi Outlander Nov Nov,16.250 €,2015. | ,210.000 km | ,Hibridni pogon | ,"1998 cm3, ","Džip/SUV, ","89kW (121KS), ","Automatski menjač, "
216,Mitsubishi Outlander 2.0  tdi 4x4,6.950 €,2007. | ,200.720 km | ,Dizel | ,"1998 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
217,Mitsubishi Pajero Pinin 2.0 GDI,Po dogovoru,2002. | ,163.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
218,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
219,Mitsubishi Pajero 3.2 DI-D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220,Mitsubishi L300 ,Po dogovoru,1990. | ,200.000 km | ,Benzin + Gas (TNG) | ,"1600 cm3, ","Monovolumen (MiniVan), ","66kW (90KS), ","Manuelni 4 brzine, "
221,Mitsubishi Grandis 2.0 did,3.500 €,2008. | ,300.000 km | ,Dizel | ,"1998 cm3, ","Monovolumen (MiniVan), ","103kW (140KS), ","Manuelni 6 brzina, "
222,Mitsubishi Pajero Pinin P A J E R O,Po dogovoru,2003. | ,183.572 km | ,Benzin | ,"1998 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
223,Mitsubishi Outlander ,9.100 €,2011. | ,186.400 km | ,Dizel | ,"1980 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
224,Mitsubishi Pajero ,4.500 €,1998. | ,190.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
225,Mitsubishi Galant ,1.500 €,2000. | ,200.000 km | ,Benzin | ,"1998 cm3, ","Limuzina, ","100kW (136KS), ","Manuelni 5 brzina, "
226,Mitsubishi Pajero ,5.999 €,1997. | ,1.000 km | ,Dizel | ,"2800 cm3, ","Džip/SUV, ","88kW (120KS), ","Manuelni 5 brzina, "
227,Mitsubishi Outlander 2.2 ditd A K C I J A,6.350 €,2007. | ,163.000 km | ,Dizel | ,"2179 cm3, ","Džip/SUV, ","115kW (156KS), ","Manuelni 6 brzina, "
228,Mitsubishi Grandis 2.0DID 7 SEDISTA,3.590 €,2006. | ,250.000 km | ,Dizel | ,"1968 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
229,Mitsubishi Space Star 1.6,1.200 €,2001. | ,217.450 km | ,Benzin | ,"1595 cm3, ","Monovolumen (MiniVan), ","75kW (102KS), ","Manuelni 5 brzina, "
230,Mitsubishi Pajero 2.5 td,3.350 €,1992. | ,200.000 km | ,Dizel | ,"2489 cm3, ","Džip/SUV, ","73kW (99KS), ","Manuelni 5 brzina, "
231,Mitsubishi Grandis 2.0 D,5.000 €,2006. | ,297.000 km | ,Dizel | ,"1968 cm3, ","Monovolumen (MiniVan), ","100kW (136KS), ","Manuelni 6 brzina, "
232,Mitsubishi Pajero ,4.300 €,2003. | ,198.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","85kW (116KS), ","Manuelni 5 brzina, "
233,Mitsubishi Pajero ,3.800 €,2000. | ,235.456 km | ,Dizel | ,"2498 cm3, ","Džip/SUV, ","100kW (136KS), ","Manuelni 5 brzina, "
234,Mitsubishi Space Star ,1.650 €,2004. | ,187.000 km | ,Dizel | ,"1870 cm3, ","Hečbek, ","75kW (102KS), ","Manuelni 5 brzina, "
235,Mitsubishi Space Star ,1.500 €,2001. | ,113.000 km | ,Benzin | ,"1299 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
236,Mitsubishi Colt 1.1,2.005 €,2005. | ,149.000 km | ,Benzin | ,"1100 cm3, ","Hečbek, ","55kW (75KS), ","Manuelni 5 brzina, "
237,Mitsubishi Space Star ,1.300 €,2002. | ,220.000 km | ,Dizel | ,"1900 cm3, ","Limuzina, ","74kW (101KS), ","Manuelni 5 brzina, "
238,Mitsubishi Colt Jubile 35,3.250 €,2012. | ,95.000 km | ,Benzin | ,"1124 cm3, ","Hečbek, ","40kW (54KS), ","Manuelni 5 brzina, "
239,Mitsubishi Lancer 1.6,900 €,1995. | ,250.000 km | ,Benzin | ,"1600 cm3, ","Limuzina, ","80kW (109KS), ","Manuelni 5 brzina, "
240,Mitsubishi Space Star 1.6,1.590 €,2003. | ,182.242 km | ,Benzin | ,"1584 cm3, ","Monovolumen (MiniVan), ","72kW (98KS), ","Manuelni 5 brzina, "
241,Mitsubishi Colt 1.5,2.999 €,2006. | ,127.913 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
242,Mitsubishi Pajero ,3.950 €,1995. | ,250.000 km | ,Dizel | ,"2490 cm3, ","Džip/SUV, ","84kW (114KS), ","Manuelni 5 brzina, "
243,Mitsubishi Colt ,2.990 €,2008. | ,175.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
244,Mitsubishi Colt CZC,2.999 €,2009. | ,139.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
245,Mitsubishi Outlander 2.2 Di-D INSTYLE 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
246,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
